productName,productPrice,image
"Nike Air Max 95 ERA","$235","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/8821e73b-f064-4c8b-a4dd-cf2de7cc4c30/air-max-95-era-shoe-zSDKRP.jpg"
"Nike Air Max Plus III","$250","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/7059d927-f94d-43a1-8e84-5016c98d07f0/air-max-plus-iii-shoe-pcRszz.jpg"
"Air Jordan 1 Low SE","$135","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/ae4c4897-9831-4af0-8d80-54bd27be013e/air-jordan-1-low-se-shoe-WVD9t8.jpg"
"Nike Air Max 90","$195","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/eda36eb5-9b40-4f95-a49a-14e9cef2b8b0/air-max-90-shoe-35wpx3.jpg"
"NikeCourt Vintage Premium","$95","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-7750a51f-31e6-4059-893f-a20ef852573a/nikecourt-vintage-shoe-3X1v0g.jpg"
"Nike Air Max Plus","$230","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-983af664-0ba2-4969-b9e3-194b1215c6ff/air-max-plus-shoe-pBf8wH.jpg"
"Nike Air Max Plus 3","$250","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/4162cdef-ed2d-4dff-b777-e5afed5c4bd3/air-max-plus-3-shoe-NbNLfP.jpg"
"Nike Air Max 95 Essential","$215","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/tqrvpqtugw3ehxe18cde/air-max-95-essential-shoe-7Cq3xk.jpg"
"Jordan Aerospace 720","$260","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-16fbb417-967b-410a-8e1e-450c11a86bc0/jordan-aerospace-720-shoe-zrrDq8.jpg"
"Nike Free Metcon 3","$160","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-5653174e-5672-49ea-82c7-5c85b92bf563/free-metcon-3-training-shoe-Xd4wDs.jpg"
"Nike SuperRep Cycle","$160","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/bb116245-4ffc-4ad4-9b20-56ec60083dfa/superrep-cycle-indoor-cycling-shoe-Fm3V6v.jpg"
"Nike React Vision","$185","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/a9cb0622-394a-480e-8b54-a63eb7bf83d8/react-vision-shoe-S5CrHg.jpg"
"LeBron 17","$300","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/036a1a5d-0c69-49e1-a891-5285f84eaaaf/lebron-17-basketball-shoe-FKCmbK.jpg"
"Nike Renew Run","$115","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-59babacb-2bda-4bd7-957d-6007539b21e2/renew-run-running-shoe-pwrDFj.jpg"
"Nike Wildhorse 6","$170","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-40f72f46-4fd1-4ca8-b556-e556eb96a2b4/wildhorse-6-trail-running-shoe-C2CwFh.jpg"
"Nike Air Zoom Pegasus 36 Trail","$165","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/ece6ebd0-a190-4ca9-a123-6835c2fb4a43/air-zoom-pegasus-36-trail-trail-running-shoe-zdtVpM.jpg"
"Jordan Max 200","$165","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-70a8cae1-72ef-47c9-9505-b06fdd777945/jordan-max-200-shoe-sqSPsZ.jpg"
"Jordan Max 200","$195","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/4efc8ff0-a855-4e68-928f-e779d6d4f4db/jordan-max-200-shoe-RpfSqd.jpg"
"Nike Revolution 5","$88","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/63402e89-a42e-43cb-9cca-0aa0b5f7d848/revolution-5-running-shoe-RNxmvG.jpg"
"Nike React Infinity Run Flyknit","$215","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/i1-665455a5-45de-40fb-945f-c1852b82400d/react-infinity-run-flyknit-running-shoe-4jHr6L.jpg"
"Nike Air Zoom Pegasus 37","$155","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/03119662-2585-4658-bed3-1fa9a19196c2/air-zoom-pegasus-37-running-shoe-Z7QV8F.jpg"
"Nike Air Max 95","$210","https://c.static-nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/cmuof8adhfipkvd0f43r/air-max-95-shoe-PATZx9Gr.jpg"
"Nike Air Max 270","$200","https://c.static-nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/s6dp2gck3oukxj9csz5y/air-max-270-shoe-nnTrqDGR.jpg"
"Nike SB Air Max Stefan Janoski 2","$145","https://static.nike.com/a/images/c_limit,w_318,f_auto/t_product_v1/ovjswbaxx4ylrwzeblou/sb-air-max-stefan-janoski-2-skate-shoe-s05dbb.jpg"
